epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
133,17596.7,1.6257,0.92255,0.6115,0.73491,0.56419,0.62837,0.29477,1.01556,0.55927,0.43001,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,17731.4,1.52817,0.90338,0.58363,0.74442,0.57095,0.63314,0.29548,1.0037,0.55348,0.42768,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
135,17866.4,1.55019,0.88356,0.60694,0.74118,0.56757,0.63217,0.29614,1.00161,0.5506,0.42789,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
136,17998.7,1.50886,0.84566,0.59409,0.73201,0.57095,0.6324,0.29754,0.99493,0.54883,0.42747,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
137,18126.1,1.49111,0.86112,0.59546,0.73257,0.57378,0.63188,0.29856,1.00097,0.5512,0.4287,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
138,18256.7,1.50336,0.84843,0.59933,0.72992,0.58434,0.63314,0.30038,0.99923,0.55079,0.42801,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185,0.0096555,0.0032185
139,18389.1,1.52095,0.85074,0.58933,0.74326,0.57095,0.63584,0.30117,0.99602,0.54594,0.42765,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
140,18524,1.48959,0.81891,0.58568,0.75803,0.57432,0.63953,0.30218,0.99684,0.54908,0.42741,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195,0.0093585,0.0031195
141,18659,1.49219,0.83992,0.60306,0.76571,0.57415,0.63968,0.30216,0.99119,0.54517,0.42588,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
142,18794.3,1.52233,0.83992,0.59987,0.77361,0.57095,0.64062,0.302,0.98664,0.54249,0.42545,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205,0.0090615,0.0030205
143,18927.9,1.50991,0.83828,0.61536,0.76826,0.57121,0.64244,0.30529,0.98421,0.53937,0.42513,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,19063.1,1.55192,0.84768,0.62287,0.77583,0.57095,0.64377,0.30502,0.98502,0.53897,0.42533,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,19190.3,1.4484,0.8088,0.58753,0.78011,0.57095,0.64612,0.30592,0.98532,0.53713,0.4248,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,19318.9,1.48036,0.81297,0.59639,0.78091,0.57095,0.64568,0.3069,0.98151,0.53237,0.42599,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,19447.6,1.46111,0.79146,0.58159,0.77947,0.57316,0.64514,0.30565,0.98295,0.53238,0.42466,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,19582.1,1.52868,0.83505,0.6003,0.75779,0.58108,0.64713,0.30355,0.98076,0.53183,0.42473,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,19717.2,1.51473,0.83078,0.60833,0.74628,0.59122,0.64779,0.30449,0.98026,0.53036,0.4249,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,19846.6,1.45955,0.7871,0.57045,0.74078,0.59797,0.65108,0.30566,0.98409,0.52992,0.42685,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,19973.5,1.47367,0.82005,0.58915,0.74887,0.59797,0.65218,0.30702,0.98447,0.53025,0.4268,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,20106.4,1.52069,0.7888,0.62016,0.75119,0.59797,0.6541,0.30686,0.97956,0.52537,0.42578,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,20235.8,1.51543,0.80562,0.62275,0.76105,0.59797,0.65532,0.30991,0.97828,0.52375,0.42536,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,20366.3,1.46862,0.78139,0.59957,0.77922,0.58446,0.65872,0.31205,0.97766,0.52235,0.42541,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,20499.7,1.43997,0.78378,0.58854,0.76869,0.59504,0.65936,0.3114,0.97799,0.52184,0.42518,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,20633.1,1.46055,0.7699,0.58275,0.78602,0.58108,0.66167,0.31391,0.97569,0.52009,0.42514,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,20764.9,1.4254,0.7783,0.59409,0.76904,0.59797,0.66201,0.31468,0.97331,0.5185,0.42476,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,20900.2,1.48059,0.7883,0.59887,0.77765,0.59797,0.66503,0.31471,0.97358,0.52076,0.42549,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,21035.7,1.38807,0.73386,0.57973,0.77331,0.60135,0.66614,0.31582,0.97188,0.51904,0.42448,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,21165.7,1.42231,0.76646,0.5675,0.78676,0.59459,0.66652,0.31727,0.97313,0.51769,0.42549,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,21296.4,1.48161,0.77048,0.6095,0.79046,0.59459,0.66744,0.3196,0.97192,0.51696,0.42488,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,21431.7,1.44461,0.74554,0.58642,0.78924,0.59459,0.66828,0.31785,0.97272,0.51595,0.42468,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,21566.8,1.3965,0.72612,0.5831,0.79597,0.59459,0.66825,0.3205,0.97195,0.51495,0.42534,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,21693.8,1.44723,0.74916,0.60134,0.80225,0.59459,0.66859,0.32108,0.96893,0.5147,0.42476,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,21821.8,1.37601,0.73403,0.58651,0.79959,0.59309,0.66942,0.32193,0.96635,0.51391,0.42432,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,21949.5,1.40739,0.73894,0.58245,0.80285,0.59159,0.67104,0.32305,0.96256,0.51324,0.42367,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,22084.2,1.44873,0.75362,0.59751,0.80636,0.59122,0.67226,0.32379,0.96372,0.51321,0.42321,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
168,22213.7,1.40542,0.72862,0.59146,0.81152,0.59122,0.67244,0.32384,0.96222,0.51302,0.42302,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,22349,1.38159,0.72128,0.57897,0.81348,0.58938,0.67237,0.32448,0.96314,0.51241,0.42314,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,22484.1,1.37465,0.73697,0.57675,0.8174,0.58979,0.67356,0.32395,0.96027,0.51135,0.42243,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,22618.9,1.37525,0.71201,0.57499,0.82539,0.59089,0.67392,0.32411,0.96118,0.5113,0.42228,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,22748.6,1.39607,0.73112,0.60308,0.82311,0.59797,0.67434,0.32421,0.95925,0.51029,0.42226,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,22881.9,1.36565,0.70744,0.56132,0.8163,0.60135,0.67484,0.32473,0.96153,0.50958,0.42327,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,23008.7,1.35222,0.6765,0.57257,0.81301,0.60135,0.67264,0.3222,0.96315,0.50832,0.42322,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,23142,1.31134,0.68526,0.57387,0.81264,0.60135,0.67308,0.3233,0.96327,0.50782,0.42305,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,23277.5,1.35207,0.7,0.57662,0.82015,0.60135,0.67828,0.32601,0.96646,0.50794,0.42311,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,23410.5,1.36606,0.69647,0.58213,0.82684,0.60135,0.67914,0.32669,0.96187,0.50675,0.42289,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,23537.9,1.39431,0.689,0.61543,0.82402,0.60135,0.67988,0.32821,0.96246,0.50585,0.42264,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
179,23666.2,1.34485,0.68173,0.57144,0.81753,0.60135,0.68039,0.33068,0.96112,0.50284,0.42222,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
180,23796.5,1.29654,0.66147,0.56624,0.81312,0.60268,0.67996,0.33225,0.95705,0.50287,0.422,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395
181,23931.2,1.2743,0.64535,0.56272,0.81736,0.60478,0.68127,0.33239,0.95879,0.50182,0.42176,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
182,24066.4,1.37609,0.67725,0.56975,0.81736,0.60478,0.68174,0.33306,0.95831,0.50023,0.42142,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405
183,24201.6,1.36223,0.664,0.58491,0.81785,0.60675,0.6819,0.33308,0.96065,0.50063,0.42188,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
184,24331.1,1.23556,0.61808,0.56855,0.81786,0.60678,0.68267,0.33205,0.95586,0.49989,0.42174,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415
185,24466.2,1.27613,0.64526,0.56803,0.81842,0.60473,0.68197,0.33272,0.95755,0.49855,0.42155,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
186,24601.3,1.28943,0.65878,0.56936,0.81761,0.6058,0.68199,0.33438,0.956,0.49747,0.4213,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
187,24736.6,1.27405,0.6574,0.56477,0.81985,0.60473,0.68235,0.33371,0.95514,0.49697,0.42128,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
188,24873,1.31777,0.66468,0.58762,0.82367,0.60473,0.68089,0.33339,0.95419,0.49685,0.42095,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435
189,25008,1.32265,0.68946,0.58,0.82608,0.59797,0.68096,0.33332,0.95379,0.49626,0.42077,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
190,25142.7,1.34102,0.67657,0.57788,0.82721,0.59843,0.68121,0.33356,0.95078,0.49502,0.42066,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445
191,25272.3,1.30879,0.63955,0.58416,0.82989,0.59797,0.68146,0.33396,0.95249,0.4948,0.4206,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
192,25399.6,1.27778,0.62951,0.5734,0.83231,0.59459,0.68183,0.33479,0.95013,0.49326,0.4205,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455
193,25529.8,1.22536,0.60544,0.55412,0.73918,0.65203,0.68175,0.33452,0.94761,0.49228,0.42053,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
194,25664.9,1.26791,0.62837,0.58171,0.74158,0.65203,0.68253,0.33559,0.95023,0.49238,0.42021,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465
195,25799.6,1.24096,0.613,0.54225,0.74298,0.65433,0.68304,0.33585,0.95031,0.49146,0.41994,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
196,25934.9,1.23033,0.60971,0.566,0.74024,0.66216,0.68286,0.33684,0.94956,0.4917,0.41996,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
197,26069.8,1.2639,0.63962,0.56249,0.7431,0.66451,0.68311,0.33631,0.94932,0.49054,0.41978,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
198,26198,1.27091,0.64184,0.58663,0.7392,0.66554,0.68312,0.3366,0.94826,0.49026,0.41958,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485,0.0007455,0.0002485
199,26325.7,1.20873,0.58558,0.55723,0.74597,0.66554,0.68405,0.3362,0.94648,0.48966,0.41924,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
200,26453.3,1.2451,0.61408,0.57889,0.74319,0.66554,0.6843,0.33848,0.94648,0.48862,0.41917,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495,0.0004485,0.0001495
