epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,4162.96,1.89191,1.83032,0.67977,0.19106,0.2027,0.10707,0.03447,1.33305,1.34311,0.50806,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,4295.56,2.03133,1.96074,0.71398,0.23338,0.21284,0.16035,0.0534,1.32223,1.24994,0.50789,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,4427.96,1.8388,1.76167,0.64983,0.2389,0.22973,0.14117,0.04487,1.32921,1.25403,0.50439,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4554.4,1.85458,1.78875,0.66192,0.25749,0.16892,0.12817,0.04201,1.33485,1.3215,0.49721,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4681.5,1.8919,1.80287,0.68076,0.26219,0.21959,0.13768,0.0438,1.30705,1.23151,0.50212,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4809.28,1.86047,1.72941,0.64478,0.20187,0.23649,0.13061,0.04056,1.31593,1.23003,0.49465,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4938.34,1.92877,1.78205,0.6856,0.29662,0.26215,0.17847,0.05589,1.32548,1.18558,0.48776,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,5072.61,1.87169,1.70158,0.64983,0.29542,0.23986,0.17614,0.05349,1.2965,1.18129,0.49325,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,5207.11,1.86282,1.68131,0.67265,0.24919,0.27365,0.16329,0.0515,1.26295,1.18,0.49747,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,5340.85,1.9292,1.70467,0.67457,0.29371,0.28041,0.18246,0.05651,1.25004,1.16956,0.48859,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,5467.8,1.90276,1.71681,0.67914,0.32414,0.25114,0.18128,0.05572,1.28908,1.13416,0.48779,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,5595.28,1.97809,1.74028,0.68846,0.32709,0.25,0.20601,0.07308,1.29871,1.16304,0.49755,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5733.32,1.83415,1.62068,0.66694,0.29344,0.25338,0.2017,0.07511,1.24877,1.12959,0.49291,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5861.96,1.85736,1.64471,0.6585,0.38928,0.27027,0.23644,0.07865,1.23792,1.06795,0.47794,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5989.14,1.84101,1.57202,0.65174,0.33914,0.27027,0.22776,0.07764,1.2476,1.06683,0.49148,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,6115.44,1.81828,1.50631,0.61901,0.31968,0.28716,0.23035,0.07852,1.28181,1.07599,0.48555,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,6242.63,1.89043,1.60271,0.6682,0.31292,0.27027,0.22253,0.07801,1.22622,1.05303,0.48072,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,6369.31,1.76061,1.46853,0.63446,0.35443,0.30233,0.2376,0.08518,1.2273,0.99847,0.47994,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,6496.67,1.93742,1.61785,0.69074,0.44757,0.28716,0.26715,0.10026,1.244,0.98025,0.48303,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,6624.29,1.83887,1.5418,0.64892,0.45787,0.2973,0.27469,0.0973,1.18308,0.96415,0.4668,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6752.16,1.87634,1.51042,0.66017,0.37362,0.3277,0.29546,0.10568,1.19795,0.96879,0.47284,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6886.79,1.86659,1.512,0.64917,0.44708,0.32095,0.29441,0.0966,1.22706,1.00066,0.4791,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,7021.67,1.88549,1.53105,0.65804,0.40906,0.31757,0.28747,0.11183,1.20416,0.98556,0.47355,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,7157.28,1.80022,1.45853,0.6522,0.43306,0.35135,0.31282,0.11161,1.23795,0.95911,0.47765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,7289.03,1.81126,1.43155,0.65025,0.40874,0.3277,0.31698,0.11407,1.21041,0.92675,0.47052,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,7428.91,1.89316,1.48643,0.6723,0.39655,0.33784,0.31835,0.11589,1.18407,0.92274,0.47334,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,7568.35,1.78658,1.42896,0.65893,0.44792,0.34797,0.30985,0.11326,1.20002,0.94992,0.47452,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
