epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2871,2.55615,40.8778,1.19753,3e-05,0.05,2e-05,0,1.49544,27.9785,0.74129,0.000653846,0.000653846,0.000653846
2,15.957,2.61879,25.4322,1.27047,0,0,0,0,1.4843,13.8435,0.71393,0.00129437,0.00129437,0.00129437
3,21.6449,2.77842,19.1928,1.36417,6e-05,0.1,4e-05,2e-05,1.18426,9.60359,0.57759,0.00190849,0.00190849,0.00190849
4,27.1805,2.54607,15.7382,1.17412,0.00037,0.55,0.00067,0.00022,1.28969,245.074,0.62698,0.0018812,0.0018812,0.0018812
5,32.7295,2.99322,13.4839,1.41655,0.00044,0.35,0.00032,0.00014,1.39704,4.94756,0.709,0.0018416,0.0018416,0.0018416
6,38.2548,2.56307,12.1948,1.1985,0.00082,0.5,0.00168,0.00051,1.14261,5.08454,0.59759,0.001802,0.001802,0.001802
7,43.668,2.4038,9.24088,1.13313,0.00027,0.15,0.01139,0.00228,1.38807,5.61948,0.67914,0.0017624,0.0017624,0.0017624
8,49.1805,2.69214,7.99493,1.36562,0.01627,0.3,0.04051,0.01401,1.19259,3.06704,0.60481,0.0017228,0.0017228,0.0017228
9,54.6614,2.31264,6.61519,1.13858,0.48628,0.25,0.27188,0.06416,1.11631,1.33849,0.58333,0.0016832,0.0016832,0.0016832
10,60.175,2.40228,5.78325,1.15324,0.43888,0.2,0.221,0.09531,1.01133,1.2324,0.56581,0.0016436,0.0016436,0.0016436
11,65.7067,2.42019,4.91801,1.20524,0.44067,0.19728,0.20355,0.0908,1.10778,1.30944,0.58494,0.001604,0.001604,0.001604
12,71.1868,2.49871,4.66279,1.13174,0.36912,0.1,0.13603,0.03364,1.05605,2.21605,0.55376,0.0015644,0.0015644,0.0015644
13,76.5113,2.12063,4.14412,1.07819,0.47131,0.3,0.29154,0.11971,1.02481,1.11271,0.55504,0.0015248,0.0015248,0.0015248
14,81.9498,2.17224,3.82659,1.06777,0.44676,0.45,0.31471,0.10345,1.07232,0.94461,0.55813,0.0014852,0.0014852,0.0014852
15,87.3719,2.15422,3.39777,1.05792,0.30831,0.3,0.21239,0.09455,1.17261,1.83247,0.59751,0.0014456,0.0014456,0.0014456
16,92.8232,2.24457,3.53339,1.13157,0.53243,0.11621,0.1952,0.08387,1.183,1.4376,0.59225,0.001406,0.001406,0.001406
17,98.706,2.22717,3.20502,1.06631,0.07248,0.25,0.06714,0.03031,0.98783,15.4389,0.53073,0.0013664,0.0013664,0.0013664
18,104.215,2.10372,2.76813,1.11552,0.49181,0.4,0.37211,0.15242,1.02617,0.97894,0.53995,0.0013268,0.0013268,0.0013268
19,109.574,1.90308,2.48201,0.97588,0.41375,0.35304,0.35258,0.16965,1.0265,1.05488,0.54498,0.0012872,0.0012872,0.0012872
20,114.928,2.17557,2.67584,0.99095,0.14634,0.6,0.37428,0.15586,1.00153,1.14848,0.54106,0.0012476,0.0012476,0.0012476
21,120.273,1.94421,2.38695,0.93204,0.69157,0.56108,0.64776,0.29502,0.88713,0.64807,0.48804,0.001208,0.001208,0.001208
22,125.612,1.67098,2.0547,0.87838,0.53238,0.5,0.46348,0.16014,0.98092,0.68749,0.50577,0.0011684,0.0011684,0.0011684
23,130.981,1.81822,2.42329,0.88566,0.65521,0.28625,0.3352,0.14706,1.05165,1.10226,0.53314,0.0011288,0.0011288,0.0011288
24,136.381,1.81393,2.33722,0.97796,0.77987,0.4,0.37983,0.13443,1.05735,1.55171,0.54584,0.0010892,0.0010892,0.0010892
25,141.753,1.93498,2.0774,0.88641,0.5406,0.64732,0.49229,0.21864,0.94571,0.75221,0.51968,0.0010496,0.0010496,0.0010496
26,147.25,1.87621,2.23121,1.03038,0.36759,0.6,0.4095,0.18818,0.98976,0.66538,0.52951,0.00101,0.00101,0.00101
27,152.67,2.00282,1.88664,1.01065,0.43467,0.57713,0.51934,0.24564,0.97213,0.67986,0.50784,0.0009704,0.0009704,0.0009704
28,158.142,1.89933,1.7524,0.99994,0.75201,0.7,0.70817,0.25792,0.95092,0.55283,0.51873,0.0009308,0.0009308,0.0009308
29,163.526,1.88206,1.90721,0.92533,0.86424,0.45,0.59423,0.25752,0.89688,0.61612,0.49359,0.0008912,0.0008912,0.0008912
30,168.991,1.81258,1.73719,1.00116,1,0.44536,0.62117,0.29671,0.86777,0.63045,0.4837,0.0008516,0.0008516,0.0008516
31,174.541,1.72123,1.57687,0.86184,0.59216,0.55,0.53702,0.2353,0.91482,0.5986,0.49725,0.000812,0.000812,0.000812
32,179.953,1.92378,1.73355,0.94139,0.72561,0.6616,0.70445,0.30418,0.8965,0.59916,0.49357,0.0007724,0.0007724,0.0007724
33,185.402,1.68843,1.4492,0.93787,0.69451,0.79587,0.74328,0.40684,0.79183,0.50359,0.46695,0.0007328,0.0007328,0.0007328
34,190.845,1.66404,1.61598,0.91061,0.70008,0.7,0.74,0.31942,0.89682,0.59548,0.47403,0.0006932,0.0006932,0.0006932
35,196.23,1.66712,1.28751,0.87246,0.9619,0.7,0.77383,0.36437,0.85456,0.45437,0.47217,0.0006536,0.0006536,0.0006536
36,201.687,1.58595,1.48179,0.96214,0.92021,0.75,0.80164,0.40122,0.74563,0.4118,0.45511,0.000614,0.000614,0.000614
37,207.032,1.54788,1.34606,0.83978,0.90442,0.75,0.81034,0.42355,0.72605,0.39375,0.44641,0.0005744,0.0005744,0.0005744
38,212.391,1.4857,1.24812,0.87672,0.9193,0.75,0.77095,0.39208,0.73779,0.49081,0.45015,0.0005348,0.0005348,0.0005348
39,217.684,1.47946,1.26896,0.85542,1,0.82801,0.89853,0.43686,0.79683,0.41143,0.46886,0.0004952,0.0004952,0.0004952
40,223.096,1.57755,1.23108,0.86066,0.99391,0.75,0.81862,0.43744,0.71885,0.37346,0.43803,0.0004556,0.0004556,0.0004556
