epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.92,1.6467,76.0222,0.78954,0,0,0,0,0.39235,53.1699,0.20816,0.000661458,0.000661458,0.000661458
2,658.489,1.59798,36.2598,0.73207,0,0,0,0,0.49695,883.628,0.27443,0.00126238,0.00126238,0.00126238
3,1104.21,1.73121,13.8229,0.77199,0,0,0,0,0.53054,9.55647,0.32421,0.00179731,0.00179731,0.00179731
4,1403.84,1.98362,5.74398,0.91273,0,0,0,0,0.43712,7.11123,0.20897,0.001703,0.001703,0.001703
5,1704.65,2.00184,3.71793,0.88907,0,0,0,0,0.4197,1.59625,0.19473,0.001604,0.001604,0.001604
6,2003.38,1.69121,3.16575,0.79395,0,0,0,0,0.43071,1.38369,0.19956,0.001505,0.001505,0.001505
7,2304.71,1.83165,3.13228,0.82932,0,0,0,0,0.36552,1.07497,0.17919,0.001406,0.001406,0.001406
8,2604.65,1.64715,2.8557,0.7642,0,0,0,0,0.40061,1.00006,0.19644,0.001307,0.001307,0.001307
9,2904.57,1.69194,2.80985,0.74404,0,0,0,0,0.40291,1.08399,0.18665,0.001208,0.001208,0.001208
10,3204.79,1.70889,2.82621,0.77192,0.00446,0.05882,0.0026,0.00052,0.3811,1.47791,0.19146,0.001109,0.001109,0.001109
11,3498.18,1.11323,2.00858,0.5426,0,0,0,0,0.39082,0.77893,0.18176,0.00101,0.00101,0.00101
12,3790.34,1.10096,1.98833,0.55944,0.03279,0.11765,0.02174,0.00217,0.4143,1.90064,0.20385,0.000911,0.000911,0.000911
13,4084.03,1.1698,2.10955,0.57565,0,0,0,0,0.37871,0.76848,0.19318,0.000812,0.000812,0.000812
14,4377.07,1.15981,1.95542,0.5859,0.02817,0.11765,0.02107,0.00753,0.37122,0.68407,0.18468,0.000713,0.000713,0.000713
15,4668.63,1.11892,1.82126,0.58604,0.00806,0.05882,0.0051,0.00204,0.39142,0.7561,0.1884,0.000614,0.000614,0.000614
16,4960.47,1.10183,1.82349,0.56195,0.024,0.17647,0.01897,0.00458,0.35524,0.75133,0.17942,0.000515,0.000515,0.000515
17,5251.83,1.11046,1.8183,0.54314,0.0241,0.35294,0.0444,0.01342,0.3484,0.68905,0.17685,0.000416,0.000416,0.000416
18,5543.07,1.10944,1.73578,0.54929,0.01341,0.41176,0.04868,0.01557,0.33585,0.72768,0.17206,0.000317,0.000317,0.000317
19,5833.97,1.10758,1.81027,0.55006,0.00999,0.47059,0.0432,0.01807,0.32751,0.66683,0.17021,0.000218,0.000218,0.000218
20,6125.79,1.05803,1.82378,0.56113,0.00993,0.47059,0.13766,0.06479,0.33011,0.66134,0.17023,0.000119,0.000119,0.000119
