epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9891,2.17644,44.5217,1.19813,0,0,0,0,1.40295,29.6694,0.71442,0.000653846,0.000653846,0.000653846
2,36.3148,2.00486,30.441,0.97062,6e-05,0.1,4e-05,0,1.73596,16.8767,0.73407,0.00118978,0.00118978,0.00118978
3,42.3012,2.42724,26.5742,1.125,0,0,0,0,1.25453,12.2978,0.6505,0.00159372,0.00159372,0.00159372
4,48.207,2.09818,21.8046,1.04112,0,0,0,0,1.328,6.95928,0.67109,0.001406,0.001406,0.001406
5,54.2356,2.27631,18.337,1.09455,0,0,0,0,1.4876,5.58234,0.72289,0.001208,0.001208,0.001208
6,60.0448,1.79231,16.5029,0.90765,0,0,0,0,1.43996,5.70117,0.63375,0.00101,0.00101,0.00101
7,65.3036,2.06091,14.7672,1.02562,0.00031,0.4,0.00023,7e-05,1.2893,5.53053,0.60016,0.000812,0.000812,0.000812
8,70.5816,2.09454,13.6882,1.00486,0.00018,0.2,0.00011,3e-05,1.39933,5.80681,0.66002,0.000614,0.000614,0.000614
9,75.7632,1.81178,12.3286,0.94044,0.00027,0.3,0.00017,7e-05,1.34992,5.48017,0.64039,0.000416,0.000416,0.000416
10,81.0778,2.03117,11.4406,1.02387,0.00052,0.55,0.00195,0.00083,1.13992,5.40548,0.5805,0.000218,0.000218,0.000218
