epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0402,0.997,36.9257,0.48221,0,0,0,0,0.33528,12.7941,0.15992,0.000664062,0.000664062,0.000664062
2,71.9403,0.90804,15.5888,0.41025,0,0,0,0,0.3408,3.04121,0.18079,0.00130438,0.00130438,0.00130438
3,102.311,0.99646,5.09248,0.43991,0,0,0,0,0.39066,21.0969,0.3456,0.0019183,0.0019183,0.0019183
4,138.325,0.9017,2.15031,0.42985,0,0,0,0,0.30943,0.5383,0.16105,0.0018812,0.0018812,0.0018812
5,173.638,0.96281,1.79776,0.47497,0,0,0,0,0.3544,0.53492,0.16411,0.0018416,0.0018416,0.0018416
6,208.61,0.91192,1.6652,0.44966,0,0,0,0,0.30195,0.61317,0.15986,0.001802,0.001802,0.001802
7,244.536,0.88362,1.53478,0.40097,0,0,0,0,0.31183,0.57537,0.15711,0.0017624,0.0017624,0.0017624
8,280.741,0.8418,1.50916,0.38606,0,0,0,0,0.31697,0.55585,0.16436,0.0017228,0.0017228,0.0017228
9,317.071,0.93533,1.58514,0.41015,0,0,0,0,0.31992,0.51148,0.15979,0.0016832,0.0016832,0.0016832
10,353.633,0.89115,1.58758,0.43584,0,0,0,0,0.29057,0.52044,0.14694,0.0016436,0.0016436,0.0016436
11,390.163,0.96819,1.65391,0.47651,0,0,0,0,0.32165,0.58274,0.15934,0.001604,0.001604,0.001604
12,426.407,0.87625,1.59033,0.38327,0,0,0,0,0.24864,0.48949,0.13968,0.0015644,0.0015644,0.0015644
13,463.109,0.94025,1.66807,0.43559,0,0,0,0,0.28618,0.56241,0.14643,0.0015248,0.0015248,0.0015248
14,499.325,0.98597,1.79947,0.45791,0.00693,0.29412,0.01518,0.00202,0.30665,0.38975,0.1525,0.0014852,0.0014852,0.0014852
15,535.353,0.98707,1.67767,0.46033,0,0,0,0,0.25957,0.50056,0.13636,0.0014456,0.0014456,0.0014456
16,571.328,0.98212,1.73075,0.46231,0,0,0,0,0.25249,0.41257,0.13298,0.001406,0.001406,0.001406
17,607.585,0.82016,1.59152,0.38821,0,0,0,0,0.26261,0.47091,0.13562,0.0013664,0.0013664,0.0013664
18,644.476,0.89952,1.49021,0.39858,0,0,0,0,0.25381,0.43869,0.13291,0.0013268,0.0013268,0.0013268
19,681.256,0.92174,1.77939,0.42531,0,0,0,0,0.2615,0.54556,0.13412,0.0012872,0.0012872,0.0012872
20,717.412,0.86414,1.56675,0.39671,0.03077,0.11765,0.03282,0.01183,0.2674,0.41148,0.1332,0.0012476,0.0012476,0.0012476
21,753.6,0.8383,1.64154,0.39581,0,0,0,0,0.26779,0.46045,0.13239,0.001208,0.001208,0.001208
22,789.859,0.90643,1.55625,0.4198,0.07143,0.29412,0.05869,0.00987,0.27026,0.39088,0.13349,0.0011684,0.0011684,0.0011684
23,826.071,0.85728,1.43638,0.4727,0.03318,0.41176,0.06372,0.01364,0.23896,0.35588,0.12865,0.0011288,0.0011288,0.0011288
24,862.634,0.95665,1.56315,0.46003,0.02057,0.76471,0.09339,0.02227,0.20909,0.33688,0.11581,0.0010892,0.0010892,0.0010892
25,899.343,0.95689,1.57625,0.46586,0.01042,0.52941,0.01281,0.00528,0.22491,0.37462,0.12015,0.0010496,0.0010496,0.0010496
26,936.009,0.77661,1.29067,0.37581,0.03448,0.35294,0.03003,0.00988,0.22081,0.3905,0.11976,0.00101,0.00101,0.00101
27,972.51,0.88429,1.7336,0.43176,0.01248,0.52941,0.02306,0.00837,0.24168,0.36927,0.1218,0.0009704,0.0009704,0.0009704
28,1008.62,0.82136,1.40769,0.36287,0.07143,0.35294,0.16911,0.04481,0.25754,0.3924,0.1291,0.0009308,0.0009308,0.0009308
29,1044.89,0.82628,1.36206,0.39144,0.02116,0.70588,0.11736,0.02756,0.24787,0.33321,0.12459,0.0008912,0.0008912,0.0008912
30,1081.26,0.80318,1.37401,0.38085,0.01404,0.82353,0.18384,0.0601,0.19219,0.31324,0.11315,0.0008516,0.0008516,0.0008516
31,1117.86,0.80975,1.24255,0.38095,0.01373,0.76471,0.13249,0.04675,0.21072,0.31112,0.11788,0.000812,0.000812,0.000812
32,1154.17,0.78696,1.22687,0.38277,0.01987,0.70588,0.12033,0.03686,0.22387,0.32759,0.11869,0.0007724,0.0007724,0.0007724
33,1190.41,0.75577,1.29355,0.34658,0.04797,0.76471,0.16426,0.06483,0.20325,0.32955,0.11459,0.0007328,0.0007328,0.0007328
34,1226.47,0.70658,1.33111,0.3544,0.13636,0.35294,0.17026,0.06729,0.19222,0.38523,0.11318,0.0006932,0.0006932,0.0006932
35,1263.04,0.91448,1.6039,0.4212,0.01892,0.82353,0.13282,0.05717,0.19233,0.29834,0.11108,0.0006536,0.0006536,0.0006536
36,1299.43,0.76719,1.10744,0.37541,0.04514,0.76471,0.17312,0.07756,0.18366,0.32566,0.10895,0.000614,0.000614,0.000614
37,1336.02,0.75132,1.1192,0.37574,0.17903,0.41176,0.17607,0.06678,0.1879,0.26832,0.11033,0.0005744,0.0005744,0.0005744
38,1372.82,0.73273,1.01615,0.34342,0.15479,0.23529,0.1811,0.0604,0.21288,0.308,0.11659,0.0005348,0.0005348,0.0005348
39,1409.01,0.74775,1.03737,0.37461,0.08065,0.29412,0.1904,0.07109,0.2036,0.39394,0.11306,0.0004952,0.0004952,0.0004952
40,1445.26,0.66595,0.88736,0.32652,0.32317,0.35294,0.26909,0.08994,0.21049,0.26175,0.11411,0.0004556,0.0004556,0.0004556
41,1481.74,0.7457,0.98297,0.35399,0.41126,0.29412,0.29331,0.13493,0.19629,0.244,0.11011,0.000416,0.000416,0.000416
42,1518.83,0.7996,0.99334,0.41226,0.3468,0.47059,0.29039,0.12827,0.18985,0.21191,0.11116,0.0003764,0.0003764,0.0003764
43,1555.4,0.63787,0.78378,0.31545,0.49553,0.35294,0.33352,0.13896,0.19595,0.21678,0.11245,0.0003368,0.0003368,0.0003368
44,1591.4,0.73376,0.849,0.39821,0.52937,0.29412,0.30864,0.13913,0.19326,0.226,0.11038,0.0002972,0.0002972,0.0002972
45,1627.71,0.76419,0.8516,0.39204,0.48912,0.33886,0.32441,0.15518,0.18284,0.25357,0.10924,0.0002576,0.0002576,0.0002576
46,1663.89,0.68546,0.76422,0.36193,0.65955,0.22902,0.3078,0.17124,0.18326,0.23299,0.11172,0.000218,0.000218,0.000218
47,1700.01,0.72823,0.80524,0.37735,0.32819,0.51761,0.34157,0.18321,0.17851,0.19917,0.1112,0.0001784,0.0001784,0.0001784
48,1736.19,0.63387,0.72198,0.34293,0.41231,0.35294,0.33516,0.17195,0.18587,0.1877,0.11075,0.0001388,0.0001388,0.0001388
49,1772.65,0.72508,0.71373,0.38002,0.36622,0.52941,0.38669,0.2037,0.18615,0.18225,0.11,9.92e-05,9.92e-05,9.92e-05
50,1808.98,0.74885,0.7564,0.38418,0.34452,0.52941,0.43008,0.23316,0.17685,0.17925,0.10795,5.96e-05,5.96e-05,5.96e-05
